(6.1, 2)
(6.2, 2)
(6.3, 10)
(6.4, 1)
(6.5, 1)
(6.6, 13)
(6.7, 2)
(6.8, 3)
(6.9, 6)
(7.0, 3)
(7.1, 6)
(7.2, 1)
(7.3, 6)
(7.4, 3)
(7.5, 18)
(7.6, 2)
(7.9, 9)
(8.0, 3)
(8.1, 6)
(8.2, 2)
(8.4, 6)
(8.5, 11)
(8.6, 4)
(8.7, 2)
(8.8, 6)
(9.0, 4)
(9.1, 7)
(9.2, 1)
(9.3, 2)
(9.4, 4)
(9.5, 3)
(9.6, 4)
(9.7, 6)
(9.8, 10)
(9.9, 5)
(10.0, 10)
(10.2, 3)
(10.3, 2)
(10.4, 9)
(10.5, 2)
(10.6, 2)
(10.9, 11)
(11.0, 8)
(11.1, 2)
(11.3, 9)
(11.4, 3)
(11.5, 5)
(11.6, 18)
(11.7, 3)
(11.8, 2)
(11.9, 6)
(12.0, 2)
(12.1, 3)
(12.2, 3)
(12.3, 5)
(12.4, 4)
(12.5, 9)
(12.6, 1)
(12.7, 4)
(12.8, 3)
(12.9, 11)
(13.0, 3)
(13.1, 5)
(13.2, 3)
(13.3, 5)
(13.4, 9)
(13.5, 7)
(13.6, 8)
(13.7, 2)
(13.8, 6)
(13.9, 2)
(14.0, 5)
(14.1, 11)
(14.2, 2)
(14.3, 2)
(14.4, 9)
(14.5, 1)
(14.6, 9)
(14.7, 6)
(14.8, 8)
(14.9, 5)
(15.0, 12)
(15.1, 2)
(15.2, 4)
(15.3, 2)
(15.4, 17)
(15.5, 5)
(15.6, 4)
(15.7, 7)
(15.8, 4)
(15.9, 6)
(16.0, 9)
(16.1, 2)
(16.2, 3)
(16.3, 10)
(16.4, 5)
(16.5, 5)
(16.6, 15)
(16.8, 2)
(16.9, 9)
(17.0, 4)
(17.1, 7)
(17.2, 2)
(17.3, 6)
(17.4, 2)
(17.5, 6)
(17.7, 4)
(17.8, 5)
(17.9, 7)
(18.0, 5)
(18.1, 8)
(18.2, 1)
(18.3, 5)
(18.4, 10)
(18.5, 9)
(18.6, 3)
(18.8, 13)
(18.9, 1)
(19.0, 2)
(19.1, 16)
(19.2, 4)
(19.3, 7)
(19.4, 5)
(19.5, 6)
(19.6, 4)
(19.7, 2)
(19.8, 8)
(19.9, 1)
(20.0, 20)
(20.2, 2)
(20.3, 4)
(20.4, 12)
(20.5, 1)
(20.6, 6)
(20.8, 1)
(20.9, 7)
(21.0, 9)
(21.2, 3)
(21.3, 18)
(21.4, 4)
(21.5, 1)
(21.6, 16)
(21.7, 5)
(21.9, 2)
(22.0, 3)
(22.1, 3)
(22.2, 1)
(22.3, 5)
(22.5, 15)
(22.6, 3)
(22.7, 4)
(22.8, 1)
(22.9, 6)
(23.0, 4)
(23.1, 7)
(23.2, 1)
(23.3, 2)
(23.4, 5)
(23.5, 8)
(23.8, 14)
(24.0, 5)
(24.1, 13)
(24.2, 1)
(24.4, 2)
(24.5, 1)
(24.6, 5)
(24.7, 1)
(24.8, 5)
(25.0, 8)
(25.1, 1)
(25.3, 1)
(25.4, 5)
(25.6, 1)
(25.8, 2)
(25.9, 4)
(26.1, 1)
(26.2, 2)
(26.3, 5)
(26.5, 1)
(26.6, 2)
(26.8, 1)
(26.9, 3)
(27.0, 1)
(27.1, 3)
(27.3, 1)
(27.4, 1)
(27.5, 6)
(27.7, 1)
(27.8, 1)
(27.9, 4)
(28.1, 4)
(28.2, 1)
(28.4, 2)
(28.5, 3)
(28.6, 2)
(28.7, 1)
(28.8, 5)
(29.0, 2)
(29.3, 1)
(29.4, 1)
(29.7, 1)
(29.8, 3)
(30.0, 3)
(30.4, 4)
(30.5, 1)
(30.6, 2)
(30.7, 1)
(30.9, 2)
(31.0, 1)
(31.3, 1)
(31.6, 1)
(31.9, 1)
(32.3, 2)
